module	kind	java_path	package	classname	fqdn	java_loc	go_basename_guess	go_match_path	status	go_loc	go_stub_score
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/Among.java	org.tartarus.snowball	Among	org.tartarus.snowball.Among	82	among	snowball/snowball_deferred.go	STUB	26	7
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/SnowballProgram.java	org.tartarus.snowball	SnowballProgram	org.tartarus.snowball.SnowballProgram	414	snowball_program	snowball/snowball_deferred.go	STUB	26	8
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/SnowballStemmer.java	org.tartarus.snowball	SnowballStemmer	org.tartarus.snowball.SnowballStemmer	41	snowball_stemmer	snowball/snowball_deferred.go	STUB	26	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/PortugueseStemmer.java	org.tartarus.snowball.ext	PortugueseStemmer	org.tartarus.snowball.ext.PortugueseStemmer	787	portuguese_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/SwedishStemmer.java	org.tartarus.snowball.ext	SwedishStemmer	org.tartarus.snowball.ext.SwedishStemmer	252	swedish_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/DanishStemmer.java	org.tartarus.snowball.ext	DanishStemmer	org.tartarus.snowball.ext.DanishStemmer	282	danish_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/GermanStemmer.java	org.tartarus.snowball.ext	GermanStemmer	org.tartarus.snowball.ext.GermanStemmer	520	german_stemmer	analysis/german_stemmer.go	IMPLEMENTED	274	0
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/FinnishStemmer.java	org.tartarus.snowball.ext	FinnishStemmer	org.tartarus.snowball.ext.FinnishStemmer	685	finnish_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/IrishStemmer.java	org.tartarus.snowball.ext	IrishStemmer	org.tartarus.snowball.ext.IrishStemmer	354	irish_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/HungarianStemmer.java	org.tartarus.snowball.ext	HungarianStemmer	org.tartarus.snowball.ext.HungarianStemmer	601	hungarian_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/EstonianStemmer.java	org.tartarus.snowball.ext	EstonianStemmer	org.tartarus.snowball.ext.EstonianStemmer	962	estonian_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/RomanianStemmer.java	org.tartarus.snowball.ext	RomanianStemmer	org.tartarus.snowball.ext.RomanianStemmer	820	romanian_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/EnglishStemmer.java	org.tartarus.snowball.ext	EnglishStemmer	org.tartarus.snowball.ext.EnglishStemmer	909	english_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/DutchStemmer.java	org.tartarus.snowball.ext	DutchStemmer	org.tartarus.snowball.ext.DutchStemmer	569	dutch_stemmer	analysis/dutch_stemmer.go	IMPLEMENTED	119	0
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/FrenchStemmer.java	org.tartarus.snowball.ext	FrenchStemmer	org.tartarus.snowball.ext.FrenchStemmer	1098	french_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/BasqueStemmer.java	org.tartarus.snowball.ext	BasqueStemmer	org.tartarus.snowball.ext.BasqueStemmer	787	basque_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/NorwegianStemmer.java	org.tartarus.snowball.ext	NorwegianStemmer	org.tartarus.snowball.ext.NorwegianStemmer	243	norwegian_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/RussianStemmer.java	org.tartarus.snowball.ext	RussianStemmer	org.tartarus.snowball.ext.RussianStemmer	561	russian_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/SpanishStemmer.java	org.tartarus.snowball.ext	SpanishStemmer	org.tartarus.snowball.ext.SpanishStemmer	840	spanish_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/IndonesianStemmer.java	org.tartarus.snowball.ext	IndonesianStemmer	org.tartarus.snowball.ext.IndonesianStemmer	365	indonesian_stemmer	analysis/indonesian_stemmer.go	IMPLEMENTED	343	0
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/HindiStemmer.java	org.tartarus.snowball.ext	HindiStemmer	org.tartarus.snowball.ext.HindiStemmer	190	hindi_stemmer	analysis/hindi_analyzer.go	IMPLEMENTED	255	0
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/SerbianStemmer.java	org.tartarus.snowball.ext	SerbianStemmer	org.tartarus.snowball.ext.SerbianStemmer	3636	serbian_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/LithuanianStemmer.java	org.tartarus.snowball.ext	LithuanianStemmer	org.tartarus.snowball.ext.LithuanianStemmer	515	lithuanian_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/YiddishStemmer.java	org.tartarus.snowball.ext	YiddishStemmer	org.tartarus.snowball.ext.YiddishStemmer	936	yiddish_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/TamilStemmer.java	org.tartarus.snowball.ext	TamilStemmer	org.tartarus.snowball.ext.TamilStemmer	1024	tamil_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/ArmenianStemmer.java	org.tartarus.snowball.ext	ArmenianStemmer	org.tartarus.snowball.ext.ArmenianStemmer	377	armenian_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
analysis/common	prod	analysis/common/src/java/org/tartarus/snowball/ext/TurkishStemmer.java	org.tartarus.snowball.ext	TurkishStemmer	org.tartarus.snowball.ext.TurkishStemmer	2096	turkish_stemmer	snowball/ext/ext_deferred.go	STUB	158	5
