scenario	canary_seed	sha256	file_count	notes
smoke	12648430	74cde243469a4edae9e5b86659f58f2aabb8f21099e0b86abd6c69f1591ac8ed	1	
postings-format	12648430	3bcb83093c6eafcd5e918393c988ea11eeeeb7a2e22a0c503cbc5708a4b67e6c	13	
doc-values-format	12648430	17cc5e8e8b0fd40aa31f1a70f74c2cce1f4d104d3295e2b17f7df81ce467405a	7	
stored-fields-format	12648430	209c5a8ae6ffe790d4c31040a636dbb03b974b8c7aff922d0934e6a2c61f3582	5	
term-vectors-format	12648430	0d5977870637c33e886f984ce7e93b726a26d44dcd5d6e29b36f7787b0d21d0c	17	
norms-format	12648430	ac608ae971f426e4d0b050540e615296f916447bb232e55a1a20ad75c4dfe96d	13	
points-format	12648430	2e95c574217a3e0191d99e8baeb6c97e07e267f7e9296e793a7facc77bc0e9b0	8	
knn-vectors-format	12648430	45db2a6b160abade33089b25528f6ef6832380bab8ed186615b292c43de0100b	9	
compound-format	12648430	653b0028aa41317229c2f77fac9030254d88a6517d2e0ccc6a9b8d8e98a74cdc	3	
field-infos-format	12648430	3e2e350a3885fedb4835101748729283f8c8482900ff1bb2f7bb4d092d4eac94	22	
segment-info-format	12648430	910bc9e73a9c6d4715bc4c8f6bca059b2a387f46966633eda3807def57549871	10	
live-docs-format	12648430	6093b80e8c2336e364d725493acf17b5958a8e84ebaff0e8aba5e37b18435000	14	
fst-blob	12648430	3c8a9aacb4bc0f4bd24c4fa3ce4cf7d007fb9d1a7c83e1431bfed2f6734f9494	1	
hunspell-blob	12648430	(deferred)	0	gap_notes="deferred to per-package task"
snowball-blob	12648430	(deferred)	0	gap_notes="deferred to per-package task"
